CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,BATTERY,WEAPONS VIOLATION,OTHER OFFENSE,DECEPTIVE PRACTICE,OFFENSE INVOLVING CHILDREN,THEFT,OBSCENITY,SEX OFFENSE,BURGLARY,MOTOR VEHICLE THEFT,ASSAULT,CRIMINAL TRESPASS,INTERFERENCE WITH PUBLIC OFFICER,NARCOTICS,ROBBERY,LIQUOR LAW VIOLATION,STALKING,PUBLIC PEACE VIOLATION,PROSTITUTION,INTIMIDATION,ARSON,HOMICIDE,HUMAN TRAFFICKING,KIDNAPPING,PUBLIC INDECENCY,NON - CRIMINAL,GAMBLING,NON-CRIMINAL,CONCEALED CARRY LICENSE VIOLATION,OTHER NARCOTIC VIOLATION
4,55,101,9,55,61,6,121,0,1,20,22,34,13,2,97,12,1,0,8,4,0,1,0,0,0,0,0,0,0,0,0
3,61,117,6,47,25,10,120,1,4,25,30,39,22,1,59,13,0,0,4,8,0,0,0,0,1,0,0,0,0,0,0
7,46,117,4,52,32,5,94,0,1,18,29,29,14,5,72,13,0,0,3,4,0,0,1,0,0,0,0,0,1,0,0
0,50,84,11,52,36,10,99,0,2,20,28,26,21,5,77,7,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0
6,45,104,11,37,43,6,127,0,2,26,28,50,9,2,67,14,0,0,2,13,0,0,0,0,1,0,0,0,0,0,0
1,35,83,6,44,45,4,112,0,1,23,24,33,18,5,55,11,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2,41,79,6,34,37,3,102,0,2,16,31,27,12,4,48,12,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0
2,54,103,1,37,60,8,130,1,1,33,31,35,21,5,82,22,4,0,2,11,2,0,2,0,0,0,1,0,0,0,0
3,71,123,10,40,31,3,140,0,0,19,27,41,14,5,85,18,2,0,4,8,1,1,1,0,2,0,0,0,0,0,0
1,52,145,11,40,32,8,103,0,1,20,17,41,16,5,67,16,1,0,5,5,0,1,1,0,1,0,0,0,0,0,0
1,47,108,7,42,44,3,130,0,3,33,26,32,19,2,46,14,0,1,9,0,0,1,0,0,1,0,0,0,0,0,0
1,58,110,10,48,35,6,113,0,0,42,33,44,18,4,73,15,1,0,6,7,0,2,0,0,0,0,0,0,0,0,0
3,46,111,4,48,42,7,96,0,1,23,21,43,11,5,67,19,0,0,7,3,2,3,3,0,1,0,0,0,0,0,0
0,48,88,7,31,48,7,111,0,3,20,12,30,14,0,74,11,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0
0,46,103,5,51,59,9,135,0,1,25,28,46,19,3,80,16,1,1,5,2,0,0,0,0,1,0,0,0,0,0,0
4,55,109,9,37,27,9,104,0,2,17,20,38,22,5,62,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6,73,140,8,69,71,10,125,1,9,27,32,33,13,5,84,17,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0
5,56,108,9,37,47,11,130,0,1,35,33,39,15,1,97,26,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0
2,49,116,5,59,52,5,115,0,1,28,26,43,17,4,77,18,0,0,9,2,0,2,0,0,1,0,0,0,0,0,0
7,41,125,6,35,44,4,120,0,0,19,17,34,14,1,69,11,0,0,6,2,0,1,0,0,1,0,0,0,0,0,0
3,52,101,9,64,41,6,110,0,1,23,15,53,17,2,79,18,1,0,9,4,0,1,0,0,0,0,0,0,0,0,0
0,61,118,12,50,65,13,135,0,1,34,28,36,21,3,95,20,1,1,9,4,0,0,0,0,0,0,0,0,0,0,0
3,71,146,8,49,45,11,122,0,3,19,24,43,16,2,79,29,0,0,12,6,1,1,3,0,1,0,0,0,0,0,0
6,59,128,9,32,15,11,133,0,1,22,23,47,22,1,90,11,1,0,8,0,1,1,2,0,0,0,0,1,0,0,0
4,63,129,10,56,61,3,137,0,8,29,20,65,15,4,73,25,0,1,11,0,1,2,4,0,0,0,0,1,0,0,0
3,81,130,11,57,63,6,142,0,3,26,26,53,17,4,88,17,0,0,11,7,2,1,0,0,0,0,0,1,0,0,0
2,67,117,9,53,60,6,150,0,1,30,37,61,25,7,71,17,0,1,10,12,0,3,0,0,0,0,0,0,0,0,0
1,64,154,9,58,44,4,158,0,2,23,30,54,24,10,76,12,0,1,11,7,0,2,0,0,0,0,0,2,0,0,0
1,86,160,19,42,51,9,159,0,2,28,37,43,22,5,90,32,2,2,14,2,0,1,0,0,1,0,0,0,0,1,0
11,113,171,11,51,31,6,159,0,0,23,24,50,14,3,79,24,9,0,9,3,1,1,0,0,1,0,0,1,0,0,0
3,102,175,15,44,31,7,142,0,4,33,32,62,9,5,57,23,1,2,11,0,0,3,4,0,0,0,0,2,0,0,0
3,78,148,12,55,47,6,158,0,4,36,17,61,19,4,82,24,0,0,11,1,0,2,2,0,0,0,0,4,0,1,0
4,82,125,5,43,30,3,147,0,1,25,17,62,17,4,98,17,0,1,5,1,0,0,0,0,1,0,0,1,0,0,0
5,59,138,12,49,47,4,131,0,0,28,25,44,16,1,78,21,2,0,9,7,2,5,0,0,1,0,0,1,0,0,0
2,89,146,9,30,28,5,154,0,3,28,23,49,30,1,74,22,0,0,10,3,0,3,4,0,1,0,0,0,0,0,0
1,102,145,16,41,52,4,146,0,3,29,24,51,24,5,81,24,0,1,11,9,0,0,1,0,2,0,0,1,0,0,0
1,89,142,19,46,30,4,133,0,6,24,28,30,14,3,79,20,1,0,6,6,1,3,1,0,0,0,0,2,0,0,0
2,83,143,9,35,28,6,129,0,1,26,27,38,23,4,65,23,1,1,4,0,0,0,3,0,1,0,0,1,0,0,0
6,47,108,6,49,41,5,139,1,1,30,17,48,15,5,54,9,0,1,5,0,0,1,0,0,1,0,0,1,0,0,0
4,53,96,10,47,46,5,141,1,0,30,23,44,18,2,95,11,1,0,7,0,0,1,1,0,0,0,0,0,0,0,0
2,78,131,11,48,53,3,130,0,3,29,20,49,23,6,90,24,2,0,11,6,0,0,1,0,0,0,0,0,0,0,0
2,80,127,9,40,33,5,123,0,3,31,30,48,22,3,83,20,1,0,6,10,1,1,1,0,1,0,0,0,0,0,0
1,76,125,8,47,52,11,130,0,2,35,37,34,25,1,88,28,2,0,5,6,0,1,1,0,1,1,0,1,0,1,0
4,68,138,12,36,32,8,140,0,2,14,26,37,18,2,70,22,3,0,10,4,1,4,1,0,2,0,0,1,0,0,0
2,70,128,11,39,32,4,128,0,1,21,18,40,18,3,78,19,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0
2,74,124,15,56,53,1,162,0,1,31,17,45,21,5,76,17,0,2,4,1,1,0,1,0,1,0,0,2,0,0,0
2,66,150,13,63,37,6,134,0,2,29,28,40,19,7,57,15,0,2,8,5,1,1,2,0,1,0,0,1,0,0,0
6,82,152,14,64,88,15,188,1,3,35,21,70,18,1,71,31,2,1,13,4,1,3,1,0,1,0,0,2,0,0,0
3,75,148,9,47,52,7,163,0,2,32,29,52,20,8,92,26,1,0,8,12,0,2,3,0,0,0,0,0,0,0,0
5,76,131,11,41,41,4,150,0,0,23,21,42,27,4,85,27,0,1,4,5,1,1,3,0,1,0,0,1,0,0,0
3,85,141,10,56,38,4,143,0,0,26,14,43,9,4,71,20,3,0,6,7,0,2,2,0,2,0,0,0,0,0,0
1,85,169,5,40,25,9,119,0,5,30,27,50,13,3,54,19,2,1,6,0,0,2,0,0,0,0,0,4,0,0,0
4,80,116,13,51,43,5,148,0,1,22,18,42,13,3,76,28,0,1,4,0,0,2,0,0,0,0,0,3,0,0,0
1,67,75,8,48,48,3,138,0,2,31,28,33,11,3,72,19,1,1,8,3,0,0,0,0,1,0,0,0,0,0,0
4,78,103,7,58,47,3,146,2,2,29,29,33,21,3,77,23,1,0,2,1,1,1,3,0,2,0,0,1,0,0,0
2,80,97,5,58,41,4,128,0,6,39,12,46,22,4,67,16,0,0,7,1,1,2,0,0,0,0,0,3,0,0,0
1,113,109,12,45,65,9,163,1,1,21,12,36,14,2,72,17,2,1,8,2,0,0,1,0,0,0,0,2,0,0,0
3,97,141,12,47,35,7,139,0,2,27,21,52,20,10,76,17,1,0,9,0,0,0,1,0,1,0,0,0,0,0,0
5,95,188,15,54,34,8,138,0,1,22,25,41,28,2,70,30,0,0,10,1,0,2,0,0,0,0,0,3,0,0,0
2,83,143,7,54,65,9,156,0,2,37,24,45,13,3,62,11,0,1,9,1,0,2,0,0,0,0,0,0,0,1,0
2,93,150,12,49,50,6,139,0,2,42,25,56,22,0,74,20,1,0,14,4,0,0,0,0,0,0,0,2,0,0,0
4,94,137,12,66,88,2,164,0,3,25,30,49,14,1,63,24,1,0,5,2,0,2,2,0,0,0,0,2,0,0,0
4,82,147,8,45,37,5,136,0,1,30,17,33,26,2,75,17,1,1,7,6,0,0,0,1,0,0,0,0,0,0,0
6,87,150,11,45,53,6,159,0,2,42,23,45,19,3,83,32,2,1,7,4,0,1,0,0,0,0,0,2,0,0,0
5,96,163,8,41,35,8,185,0,2,25,23,37,19,5,77,14,2,0,7,7,0,3,2,0,0,0,0,0,0,0,0
7,74,160,9,43,20,4,153,0,2,21,29,40,26,3,70,26,1,1,6,0,1,1,3,0,0,0,0,1,0,0,0
4,61,135,9,51,57,7,176,1,2,34,28,45,17,1,83,15,1,1,5,1,0,4,2,0,0,0,0,0,0,0,0
2,58,112,14,53,40,4,150,0,0,25,30,40,17,4,74,24,1,0,4,3,1,1,3,0,0,0,0,0,0,0,0
1,73,119,11,41,44,10,144,0,3,23,25,58,19,3,63,28,2,1,8,3,1,1,0,0,1,0,0,0,0,0,0
2,75,137,12,65,47,3,147,0,1,41,26,47,19,3,59,20,0,0,10,8,1,1,1,0,0,0,0,3,0,1,0
2,80,147,6,44,45,4,166,0,2,37,28,56,26,2,66,28,1,0,8,2,0,2,2,0,2,0,0,0,0,0,1
1,84,139,8,43,54,6,142,1,2,23,16,36,26,6,64,31,0,1,4,5,0,0,1,0,0,1,0,0,0,0,0
2,89,171,9,43,29,6,136,0,2,28,26,54,22,1,57,25,0,1,10,1,0,0,2,0,0,0,0,1,0,0,0
4,80,152,5,39,51,6,148,0,1,49,23,51,26,2,48,23,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
