CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,BATTERY,WEAPONS VIOLATION,OTHER OFFENSE,DECEPTIVE PRACTICE,OFFENSE INVOLVING CHILDREN,THEFT,OBSCENITY,SEX OFFENSE,BURGLARY,MOTOR VEHICLE THEFT,ASSAULT,CRIMINAL TRESPASS,INTERFERENCE WITH PUBLIC OFFICER,NARCOTICS,ROBBERY,LIQUOR LAW VIOLATION,STALKING,PUBLIC PEACE VIOLATION,PROSTITUTION,INTIMIDATION,ARSON,HOMICIDE,HUMAN TRAFFICKING,KIDNAPPING,PUBLIC INDECENCY,NON - CRIMINAL,GAMBLING,NON-CRIMINAL,CONCEALED CARRY LICENSE VIOLATION,OTHER NARCOTIC VIOLATION
2,83,122,11,63,91,11,183,0,3,49,27,52,24,1,79,29,0,0,10,3,0,2,1,0,0,0,0,3,0,0,0
3,94,112,12,55,56,5,151,0,5,26,35,62,17,3,75,25,2,1,6,2,0,0,2,0,0,0,0,3,0,0,0
4,80,139,7,47,44,5,179,0,3,36,26,49,16,1,66,38,1,0,13,2,1,1,3,0,1,1,0,3,0,0,0
9,149,183,10,43,22,13,150,0,2,37,41,58,15,3,50,35,0,1,8,3,1,3,4,0,1,0,0,0,0,0,0
4,107,247,22,47,23,5,167,0,5,33,39,52,20,2,65,30,0,0,10,0,2,8,7,0,0,0,0,1,0,0,0
4,79,145,5,58,52,7,161,0,2,39,32,55,21,5,56,16,0,0,7,1,0,2,1,0,0,0,0,3,0,0,0
2,84,114,9,41,40,2,176,0,3,37,25,47,21,3,63,14,0,1,7,2,0,0,1,1,0,0,0,4,0,0,0
4,81,99,9,55,42,6,171,0,0,44,21,50,18,2,70,23,1,0,4,6,1,0,2,0,0,0,0,1,1,0,0
3,86,107,15,44,30,4,156,0,1,38,18,44,16,2,65,24,0,0,8,5,0,1,2,0,0,0,0,2,0,0,0
1,83,111,5,55,48,3,196,0,0,30,19,38,14,3,75,34,0,0,7,5,0,1,2,0,1,0,0,3,0,1,0
4,99,188,11,37,29,8,166,0,1,28,24,43,18,8,66,35,3,1,14,0,1,3,5,0,1,0,0,1,0,0,0
4,93,188,15,46,40,5,167,0,1,22,33,54,16,6,68,29,0,1,6,0,0,0,1,0,0,0,0,3,0,0,0
3,102,131,14,60,58,2,177,0,2,42,22,50,14,2,60,21,0,0,11,0,0,3,1,0,1,0,0,0,0,0,0
6,60,120,14,51,30,5,191,1,0,27,16,48,20,6,65,29,2,1,11,6,0,0,0,0,0,0,0,0,0,0,0
6,95,111,10,52,53,4,198,0,5,28,31,63,15,2,66,27,1,0,8,7,0,1,2,0,0,0,0,1,0,0,0
1,83,114,10,53,40,4,159,0,2,32,19,35,21,1,42,31,0,0,7,5,0,2,1,0,1,0,0,1,0,0,0
5,87,140,11,58,48,9,186,0,4,41,44,36,21,4,75,32,4,0,7,4,0,0,5,0,1,0,0,0,0,0,0
7,82,186,9,46,40,6,167,0,3,46,27,57,14,1,48,22,0,0,4,3,0,2,3,0,0,0,0,1,0,0,0
4,85,187,18,40,29,8,163,0,2,30,22,55,19,6,40,41,2,1,7,0,0,0,1,0,1,0,0,1,0,0,0
2,85,141,8,61,42,9,186,0,4,36,34,49,16,4,59,34,0,0,2,0,0,1,1,0,1,0,0,1,0,0,0
5,82,146,17,51,39,5,167,0,3,40,36,54,16,4,57,29,0,1,6,7,0,3,1,0,2,0,0,2,0,0,0
4,82,144,14,56,41,5,175,0,3,37,26,52,12,5,72,25,1,0,3,6,0,2,0,0,3,0,0,1,0,0,0
2,94,147,15,55,37,4,196,0,2,40,27,49,17,4,65,28,2,1,6,11,0,0,1,1,0,0,0,0,0,0,0
4,112,147,10,51,42,8,205,0,6,50,29,50,15,3,72,41,0,0,9,10,0,0,1,0,0,0,0,0,0,0,0
5,111,170,12,53,34,8,177,0,7,49,32,62,12,3,50,31,1,2,6,0,1,0,2,0,0,0,0,1,0,0,0
5,94,190,11,47,24,11,148,0,2,35,41,64,23,2,60,32,0,0,4,0,0,1,4,0,0,0,0,2,0,1,0
3,97,157,15,46,52,4,211,0,4,42,23,53,24,3,52,30,1,1,7,1,0,3,0,0,0,0,0,1,0,1,0
3,83,143,12,44,44,4,171,0,5,41,30,58,20,4,52,32,1,0,2,4,1,4,1,0,0,0,0,2,0,1,1
2,94,142,11,44,47,7,157,0,3,36,31,55,13,8,63,38,0,0,3,3,2,1,0,0,0,0,0,1,0,0,0
3,87,146,11,65,31,5,160,0,2,45,34,48,15,5,70,25,1,2,9,3,0,2,1,0,0,0,0,0,0,0,0
6,78,147,15,41,56,5,173,0,4,40,30,50,19,3,55,35,2,0,5,2,0,5,1,0,1,1,0,0,0,0,0
5,103,181,11,62,71,22,266,0,10,43,38,54,23,3,64,28,1,1,8,1,0,1,0,0,0,0,1,3,0,0,0
7,83,198,12,39,29,11,177,0,2,37,29,48,20,7,64,36,1,1,10,1,0,1,3,0,1,0,0,0,0,0,0
3,87,124,9,62,44,1,169,0,3,27,32,59,18,4,52,22,1,0,3,0,0,3,1,0,0,0,0,3,0,0,0
2,72,147,6,38,42,3,162,0,1,30,37,53,20,4,83,38,0,1,11,3,0,2,1,0,0,0,0,3,0,0,0
2,77,129,11,51,44,2,168,0,3,31,41,53,23,4,74,26,1,0,4,12,1,1,2,0,1,0,0,4,0,0,0
6,79,140,10,61,40,6,192,0,2,45,30,46,25,3,76,26,1,0,5,4,0,1,3,0,1,0,0,3,0,0,0
8,79,162,10,57,41,11,198,0,2,45,22,50,24,3,71,35,3,1,6,1,2,0,2,0,1,0,0,2,0,0,0
2,104,186,8,51,46,3,184,0,2,52,26,52,18,5,59,28,1,1,11,0,0,2,0,0,2,0,0,3,0,0,0
6,86,183,12,49,18,5,160,0,2,34,25,37,16,2,69,25,1,0,8,0,0,1,1,0,1,0,0,1,0,0,0
3,79,149,6,61,44,3,189,0,3,44,35,64,27,3,59,24,0,0,7,0,1,1,1,0,0,0,0,1,0,0,0
3,79,140,12,65,38,7,169,0,6,34,26,56,18,5,68,33,1,0,8,10,0,0,2,0,2,0,0,5,0,0,0
1,70,139,12,51,34,2,177,0,2,38,34,54,14,3,84,24,2,0,4,8,1,0,0,0,1,0,0,2,0,0,0
3,72,158,8,46,53,6,159,0,1,46,32,65,17,9,64,27,0,0,4,6,1,0,2,0,0,0,0,2,0,0,0
5,94,129,7,52,37,7,181,0,2,56,33,61,12,4,64,34,0,0,6,9,1,4,1,0,0,0,0,2,0,0,0
5,106,184,2,47,35,9,180,0,9,50,19,42,18,2,47,37,1,0,7,6,0,4,3,0,1,0,0,2,0,0,0
10,113,212,13,30,25,6,179,0,3,45,31,70,18,5,58,30,1,0,6,0,0,3,2,1,1,0,0,2,0,0,0
4,79,136,13,51,51,4,170,0,3,48,22,49,23,5,47,22,0,0,3,2,0,0,3,0,1,0,0,0,0,0,0
3,74,136,11,47,47,7,179,0,2,47,29,43,17,5,59,28,3,0,8,9,1,1,0,0,1,0,0,2,0,0,0
0,87,136,10,57,41,3,188,0,1,32,29,53,19,3,74,25,1,0,9,12,0,0,2,0,0,0,1,4,0,0,0
3,73,118,12,58,40,3,192,0,5,47,36,45,19,5,107,37,2,2,6,15,2,2,2,0,0,0,0,2,0,0,0
8,91,128,9,50,49,6,214,0,2,38,40,61,12,3,90,31,2,2,4,8,0,2,2,0,1,0,0,1,0,0,0
2,111,178,16,55,40,3,159,0,3,39,35,63,18,6,57,45,2,0,4,3,0,1,2,0,2,0,0,0,0,0,0
7,85,196,11,49,30,9,171,1,2,34,27,41,20,4,70,30,1,0,9,0,1,0,3,0,0,0,0,2,0,0,0
4,86,124,12,53,38,2,154,0,3,38,31,43,20,6,62,30,3,0,8,1,1,3,1,0,0,0,0,0,0,0,0
1,78,114,14,58,49,5,185,0,1,39,43,56,16,3,54,28,2,0,4,6,1,1,3,0,0,0,0,3,0,0,0
6,89,103,18,56,61,4,189,0,3,33,29,45,23,4,64,36,2,1,7,4,0,0,3,0,1,0,0,2,2,0,0
1,81,121,13,56,44,5,200,0,2,37,35,29,10,7,72,30,1,3,7,6,0,0,0,0,0,0,0,2,0,0,0
1,89,126,9,49,56,6,206,0,2,47,33,43,18,2,71,29,0,0,6,1,0,0,1,0,3,0,0,3,0,0,0
4,104,158,9,47,34,2,153,0,3,42,23,60,10,5,65,25,1,0,5,2,0,1,3,0,0,0,0,1,0,0,0
9,93,151,7,57,30,5,171,0,2,39,28,57,26,5,69,34,1,0,8,0,1,1,2,0,0,0,0,2,0,0,0
2,75,133,9,45,47,2,175,1,6,33,35,43,16,5,67,27,1,0,8,1,1,4,3,0,0,0,0,2,0,0,0
11,87,147,13,56,93,15,200,0,16,36,35,56,20,6,74,30,1,0,5,4,0,2,1,0,0,0,1,3,0,0,0
7,92,118,7,57,40,1,169,0,3,51,35,54,14,7,77,29,0,1,5,8,1,2,10,1,2,0,0,4,0,0,0
4,81,153,9,59,40,2,227,0,5,35,31,59,18,2,79,44,1,0,13,6,0,0,2,0,0,0,0,2,0,0,0
5,87,128,12,54,65,6,200,1,4,37,24,50,13,4,66,34,0,0,11,1,0,0,2,0,2,0,0,4,0,1,0
6,86,169,14,31,32,6,170,0,4,39,27,44,20,1,56,36,1,1,10,2,0,0,3,0,0,0,0,1,0,0,0
5,97,191,7,39,21,8,161,0,2,42,27,61,20,10,75,31,1,1,3,2,1,2,2,0,0,0,0,3,0,0,0
9,97,173,14,49,27,7,160,0,4,34,29,55,15,5,80,34,0,1,7,0,0,1,2,0,1,0,0,1,0,0,0
4,73,110,6,52,51,4,173,0,4,41,32,51,13,2,61,25,0,0,4,3,1,2,1,0,0,0,0,1,0,0,0
2,78,116,8,45,40,5,166,0,4,41,19,46,22,4,70,27,0,0,7,2,0,1,1,0,1,0,0,2,0,0,0
3,80,112,12,46,33,1,156,0,1,45,26,40,8,6,56,24,0,1,4,0,0,2,1,0,0,0,0,0,0,0,0
4,80,103,7,46,47,6,150,0,1,43,23,46,14,1,72,23,1,1,12,1,1,2,0,0,1,0,0,1,0,0,0
10,83,157,7,47,46,6,158,0,3,21,34,41,15,5,50,23,1,0,10,2,0,2,0,0,0,0,0,0,0,0,0
7,109,186,12,26,31,5,143,0,1,30,30,31,13,5,56,34,0,0,12,0,0,0,1,0,0,0,1,0,0,1,0
3,78,140,6,52,36,4,202,0,6,42,26,59,16,5,56,36,0,0,2,2,0,8,5,0,0,0,0,1,0,0,0
1,80,121,12,56,62,6,178,1,5,38,34,54,24,6,65,42,0,0,11,2,1,0,1,0,1,0,0,2,0,0,0
0,68,144,9,37,44,3,176,1,1,41,35,48,14,2,82,33,2,3,8,5,1,0,2,0,1,0,0,2,0,0,0
9,62,133,12,40,39,5,183,0,4,41,27,53,11,2,66,19,1,1,2,3,0,1,0,0,0,0,0,1,0,0,0
3,101,126,13,53,55,8,188,0,2,50,34,47,12,5,52,26,3,1,2,3,0,2,1,1,0,0,0,2,0,0,0
3,79,162,10,48,32,6,184,0,0,32,33,53,17,3,77,30,2,0,4,2,1,2,3,0,0,0,1,2,0,0,0
4,80,205,14,53,38,2,183,0,2,26,24,43,16,3,67,31,1,1,9,0,0,0,6,0,0,0,0,1,0,0,0
5,68,137,16,44,40,4,157,0,4,46,20,65,14,3,67,29,1,2,8,1,0,0,1,0,0,0,0,1,0,0,0
2,78,132,14,51,44,8,146,0,0,42,32,60,22,3,76,39,0,1,11,9,0,2,1,0,0,0,0,1,0,0,0
1,87,149,10,49,44,7,197,0,4,41,26,53,23,3,85,27,2,1,8,5,0,2,1,0,2,0,0,2,0,0,0
2,74,128,9,37,37,4,166,0,0,40,29,52,20,4,66,26,1,1,6,4,1,1,2,0,1,0,0,0,0,1,0
4,99,144,10,54,49,3,160,1,3,56,31,59,11,2,73,28,2,0,6,5,0,1,2,0,1,0,0,1,0,0,0
5,108,170,9,45,29,4,161,0,2,36,36,57,14,5,57,36,2,0,6,1,1,3,2,0,0,1,0,0,0,0,0
8,97,171,12,43,25,10,148,0,4,45,33,59,14,3,75,37,0,0,9,2,0,0,3,0,0,0,0,0,0,0,1
1,74,134,12,44,39,7,172,0,0,42,27,55,18,2,68,41,0,0,8,0,0,0,3,0,3,0,0,1,0,0,0
3,73,101,9,48,42,5,157,0,1,31,23,48,16,2,59,31,1,0,8,0,0,0,4,0,2,0,0,1,0,0,0
0,74,103,10,45,36,3,176,0,4,35,24,31,18,4,73,24,2,0,6,0,0,1,2,0,0,0,0,1,1,0,0
5,79,108,10,73,91,16,183,0,8,38,26,49,22,2,82,42,2,0,6,3,0,3,2,0,0,0,0,1,0,1,0
1,68,126,12,51,52,7,185,0,1,49,28,45,13,6,103,36,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0
3,78,109,9,50,32,5,149,0,3,44,45,40,15,5,63,42,1,0,8,0,0,0,0,0,1,0,0,1,0,2,0
2,81,127,10,45,22,8,142,0,3,24,23,44,14,1,64,32,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0
4,63,116,9,52,62,7,163,0,5,41,25,54,13,5,79,34,1,0,11,0,0,0,0,0,0,0,0,3,0,0,0
5,62,110,14,66,38,7,168,0,4,42,22,59,17,3,84,31,0,0,6,4,0,4,2,0,1,0,0,0,0,0,0
1,74,132,5,49,44,2,140,0,2,44,28,55,18,3,68,32,0,1,6,10,0,1,1,0,0,0,0,0,0,0,0
2,60,148,4,45,35,3,160,1,1,28,39,46,16,3,64,28,0,0,4,7,1,1,1,0,0,0,0,0,0,0,0
3,83,133,12,52,49,9,194,0,1,39,22,35,9,3,100,31,0,0,11,2,0,0,1,0,0,0,0,0,0,0,0
5,99,122,6,48,38,4,173,0,4,32,16,48,19,6,62,28,1,1,6,0,2,1,2,0,2,0,0,0,0,0,0
7,102,175,13,49,19,11,142,0,2,27,30,59,15,3,41,27,2,0,7,0,0,2,1,0,0,0,0,0,0,1,0
4,86,142,8,54,38,4,157,0,0,44,26,47,16,2,57,26,0,0,9,0,1,3,1,0,0,0,0,1,0,1,0
3,88,144,4,50,39,5,162,0,2,47,22,47,22,5,61,22,3,0,7,1,0,0,1,2,0,0,0,0,0,0,0
4,85,119,7,46,48,6,176,0,3,59,15,47,20,2,77,29,1,1,6,5,0,3,2,0,1,0,0,0,0,0,0
6,89,109,7,58,60,3,190,0,5,49,31,52,18,2,78,30,3,2,7,5,0,0,0,0,0,0,0,0,0,0,0
5,83,107,10,46,47,6,170,0,3,40,29,53,16,5,71,25,1,0,5,1,2,0,2,0,1,0,0,3,1,0,0
4,90,141,13,37,25,6,181,0,4,36,20,39,14,5,54,23,1,1,4,2,0,3,0,0,0,0,0,1,0,0,0
6,111,160,9,42,23,3,111,0,0,36,23,35,18,4,56,22,1,0,7,0,1,1,2,0,2,0,0,0,0,0,0
0,97,132,5,47,38,5,180,0,4,45,28,49,25,4,60,44,0,0,10,1,2,4,2,0,0,0,1,0,0,0,0
6,84,117,12,42,55,1,184,1,3,49,24,45,25,6,85,35,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
2,93,143,7,48,40,5,189,0,0,50,31,43,12,3,77,31,1,0,7,4,0,3,0,0,0,0,0,1,0,0,0
2,92,128,9,67,43,6,152,0,2,44,34,50,19,4,76,24,0,0,9,10,0,1,0,0,0,0,0,1,0,0,0
3,77,131,14,46,49,7,163,0,4,48,22,44,25,2,85,36,2,0,11,0,1,1,3,0,1,0,0,1,0,0,0
4,87,160,11,35,37,9,180,0,3,49,25,51,11,1,46,32,0,0,4,9,1,2,3,0,1,0,0,0,0,0,0
12,83,150,8,32,22,5,175,1,7,28,28,49,19,4,59,29,1,0,5,6,0,2,1,0,0,0,0,1,0,0,0
1,85,132,7,48,55,7,177,0,3,54,30,55,17,3,51,39,0,1,6,0,1,3,2,0,1,0,0,0,2,0,0
2,83,108,7,44,34,2,150,0,2,44,25,47,15,2,43,31,0,0,4,1,0,1,0,0,1,0,0,0,0,0,0
3,66,106,5,59,44,6,160,0,2,56,28,37,19,3,53,19,0,0,8,4,0,2,0,0,0,0,0,0,0,0,0
1,76,115,3,44,37,5,165,0,2,35,33,36,13,3,56,29,1,0,5,4,1,1,0,0,0,0,0,0,0,0,0
6,78,114,13,49,52,8,165,0,0,42,44,38,13,6,95,31,0,1,11,2,0,1,1,0,1,0,0,0,0,0,0
1,105,166,12,43,28,6,157,0,2,35,19,26,17,3,47,35,2,0,5,4,0,2,1,0,2,1,0,0,0,0,0
13,106,184,17,64,74,15,186,0,5,41,45,59,23,4,69,32,3,1,5,1,0,5,1,0,2,0,0,0,0,0,0
0,84,153,9,59,47,3,154,0,5,51,34,51,16,5,76,23,0,1,6,0,0,1,2,0,0,0,0,0,0,0,0
4,74,138,5,53,47,4,167,0,2,40,31,53,15,3,55,34,1,0,5,6,0,6,3,0,1,0,1,0,0,0,0
4,77,129,10,58,40,2,173,0,3,65,29,53,23,2,77,26,2,2,4,3,1,2,0,0,0,0,0,2,0,0,0
5,76,136,7,44,39,5,179,0,6,46,24,46,24,1,66,32,0,0,8,3,0,0,1,0,0,0,0,0,0,0,0
2,71,117,7,41,38,10,172,0,3,47,39,46,21,5,78,32,0,0,4,9,0,0,0,0,2,0,0,0,0,0,0
6,85,133,11,51,30,5,167,0,3,25,21,35,14,0,56,20,5,0,7,8,0,1,4,0,0,0,0,2,0,0,0
6,96,143,11,35,24,1,163,0,1,29,33,39,17,4,69,20,1,0,3,2,0,5,0,0,1,0,0,0,0,0,0
3,83,115,9,47,36,6,160,0,2,45,19,38,11,3,63,27,0,0,7,0,0,1,1,0,0,1,0,0,0,0,0
4,72,125,8,39,43,4,129,0,3,42,24,40,10,4,57,26,1,0,1,1,1,1,0,0,2,0,0,0,0,0,0
8,74,99,9,43,57,9,133,0,1,49,28,35,14,8,71,31,0,0,7,4,0,0,2,0,1,0,0,1,0,0,0
3,81,74,11,43,62,7,156,1,3,52,27,41,21,3,66,24,1,0,9,2,0,1,2,0,1,0,0,0,0,0,0
1,87,108,8,44,36,4,157,1,0,31,30,38,20,7,67,26,0,0,5,1,1,1,0,0,1,0,0,0,0,0,0
2,95,126,9,38,29,4,174,1,0,35,23,36,21,0,61,28,0,0,7,3,0,0,1,0,0,0,0,1,0,0,0
5,81,133,7,54,39,6,155,0,2,38,28,44,17,5,65,23,0,1,11,4,0,1,0,0,0,0,0,0,0,0,0
3,94,125,9,46,49,4,163,0,6,53,27,36,19,3,57,37,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0
1,80,108,7,39,43,3,142,0,4,44,29,39,20,4,58,27,0,0,8,5,0,2,0,0,1,0,0,0,1,0,0
1,65,111,6,40,45,7,164,0,0,46,27,47,13,4,66,23,0,0,8,1,1,2,2,0,1,0,0,0,0,0,0
3,80,91,3,38,47,7,150,1,0,38,27,45,18,8,93,34,0,1,6,4,0,1,0,0,0,0,0,0,0,1,0
2,71,103,10,39,43,8,162,0,4,36,34,51,16,1,77,33,0,1,9,5,0,0,1,0,2,0,0,0,1,0,0
2,49,96,6,33,29,5,123,0,3,25,33,46,10,3,39,15,0,1,5,0,0,1,2,0,0,0,0,0,0,0,0
3,71,108,5,49,27,2,112,0,0,20,16,29,12,4,40,12,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0
0,51,120,8,45,41,4,148,0,3,32,34,38,26,3,54,34,0,1,5,0,0,3,1,0,0,0,0,0,0,0,0
2,66,101,7,43,28,9,135,0,3,51,29,35,14,3,47,26,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0
3,84,97,13,39,32,3,145,0,1,47,25,38,10,2,44,25,0,0,4,0,0,2,1,0,0,1,0,0,0,0,0
1,87,144,7,30,20,5,98,1,2,42,33,38,7,2,24,34,0,0,4,0,0,1,3,0,1,0,0,0,1,0,0
4,85,88,2,34,39,6,163,0,0,27,29,44,12,2,37,31,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0
3,96,131,10,32,37,7,137,0,2,41,32,37,12,2,41,23,0,0,10,0,0,1,2,0,0,0,0,0,0,0,0
7,79,108,6,36,23,5,124,0,1,41,34,43,14,4,45,28,1,0,4,0,0,1,4,0,1,0,0,0,0,0,0
2,84,106,4,59,43,1,158,0,1,37,21,30,18,4,57,32,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0
5,71,114,9,55,82,14,153,0,16,37,30,42,15,4,66,26,0,1,2,3,0,2,2,0,1,0,0,0,0,0,0
3,75,113,6,40,38,2,169,0,1,44,36,37,13,2,74,45,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0
3,67,113,4,50,50,7,173,0,1,43,39,48,8,2,59,31,0,0,4,3,0,1,1,0,0,0,0,0,0,0,0
2,76,115,6,47,45,4,162,0,3,47,32,38,11,4,60,34,0,0,5,0,0,0,2,0,3,0,0,1,0,0,0
2,95,154,9,39,44,6,149,0,2,25,36,38,13,4,43,29,0,0,2,11,0,2,1,0,0,0,0,1,0,0,0
6,92,135,7,41,30,5,149,0,0,29,41,29,19,4,49,37,0,0,5,0,0,3,1,0,1,0,0,0,0,1,0
5,79,117,3,44,43,2,178,0,0,51,22,32,20,3,45,33,0,0,7,0,0,0,0,0,1,1,0,0,0,0,0
1,80,119,8,55,45,6,186,0,2,39,25,37,19,2,58,24,1,1,5,3,2,2,0,0,2,0,0,0,0,0,0
2,67,111,4,46,43,10,171,0,2,56,26,40,19,3,39,34,0,0,6,0,2,1,1,0,0,0,0,0,0,0,0
3,74,122,7,48,42,4,172,0,2,57,28,38,11,1,41,26,0,0,4,3,1,1,1,0,1,0,0,0,0,1,0
7,88,116,5,30,40,6,189,0,2,46,43,47,27,3,48,32,0,0,10,0,0,1,1,0,0,0,0,0,0,0,0
2,95,160,10,41,42,5,164,0,2,43,34,44,14,3,35,31,4,0,7,10,0,0,0,0,1,0,1,0,0,0,0
5,89,147,6,26,17,6,182,1,3,28,27,37,11,3,28,27,0,0,0,3,0,0,1,0,0,1,0,0,1,0,0
4,79,121,5,45,44,5,192,0,0,69,28,48,11,1,36,38,0,3,5,1,1,1,0,0,0,0,0,0,0,0,0
1,99,108,11,41,54,6,194,0,5,60,27,52,23,3,56,30,0,0,10,2,0,1,1,0,1,0,0,0,0,0,0
4,92,105,5,46,49,7,172,0,1,57,23,45,13,1,50,33,2,0,8,0,1,1,1,0,1,0,0,0,0,0,0
2,77,100,3,44,60,8,187,0,2,56,36,39,13,1,45,38,1,0,6,3,0,1,4,0,0,0,0,0,0,0,0
4,68,110,3,39,39,7,172,0,2,43,22,42,13,0,46,27,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0
4,81,128,3,36,44,3,163,0,1,41,38,30,6,6,44,29,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0
3,85,142,7,50,34,9,152,0,1,34,30,33,14,2,46,36,0,1,4,2,1,2,2,0,0,0,0,0,0,0,0
2,70,109,4,37,58,4,158,0,1,44,32,40,20,0,35,26,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0
3,83,89,4,44,38,3,185,0,0,51,30,56,19,1,38,39,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
4,94,90,4,42,43,4,204,0,4,68,32,51,18,1,31,44,0,0,5,5,1,2,2,0,0,0,0,0,0,0,0
0,98,141,2,31,46,7,131,0,3,57,17,42,19,2,11,57,0,0,4,0,0,0,2,0,1,0,0,0,0,0,0
2,80,138,1,27,13,12,87,0,2,28,15,32,8,2,11,31,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
5,93,138,11,46,25,3,129,0,0,33,30,37,10,2,37,29,0,1,3,0,0,1,2,0,1,0,0,0,0,0,0
2,81,119,5,36,19,3,159,1,0,24,34,44,11,2,38,33,1,0,3,0,0,3,3,0,1,0,0,0,0,0,0
3,59,89,3,38,26,4,125,1,0,38,26,29,12,4,19,27,0,0,5,0,1,0,1,0,1,0,0,0,0,0,0
2,61,99,3,42,44,6,147,0,1,42,29,34,12,0,48,37,0,0,5,4,1,0,1,0,0,0,0,0,0,0,0
2,59,125,7,43,44,4,129,0,2,34,21,41,11,1,35,33,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0
